,MTTF AdaFT,MTTF AdaFT DVFS,MTTF All On,MTTF DVFS,Number of Processors,QoC Constraint,Version 1 Execution Time,Version 1 Power,Version 1 WCET,Version 2 Execution Time,Version 2 Power,Version 2 WCET
0,9.217802349346151,9.229009785146667,8.916027145328215,9.229009785146667,3,0.15,0.004,10,0.008,0.001,1.0,0.005
1,9.425016202624192,9.430746243167176,9.419436934263196,9.430746243167176,6,0.15,0.004,10,0.008,0.001,1.0,0.005
2,9.212117977012813,9.229009785146667,9.190440488266075,9.229009785146667,3,0.15,0.004,10,0.008,0.002,1.0,0.005
3,9.422003411966365,9.430746243167176,9.410847894417214,9.430746243167176,6,0.15,0.004,10,0.008,0.002,1.0,0.005
4,9.206453059876138,9.229009785146667,9.173969709115005,9.229009785146667,3,0.15,0.004,10,0.008,0.003,1.0,0.005
5,9.419010141488286,9.430746243167176,9.402281358228587,9.430746243167176,6,0.15,0.004,10,0.008,0.003,1.0,0.005
6,9.200583823956723,9.228314962029078,9.15754016954658,9.227021586942763,3,0.15,0.004,10,0.008,0.004,1.0,0.005
7,9.415921200682853,9.430383486489351,9.393737288953082,9.429715714735066,6,0.15,0.004,10,0.008,0.004,1.0,0.005
8,9.127132277931256,9.229009785146667,8.947091160875798,9.229009785146667,3,0.15,0.004,10,0.008,0.001,9.0,0.005
9,9.37666163015429,9.430746243167176,9.283001061916442,9.430746243167176,6,0.15,0.004,10,0.008,0.001,9.0,0.005
10,9.032254398186796,9.224610319421082,8.681064835130528,9.216426927441006,3,0.15,0.004,10,0.008,0.002,9.0,0.005
11,9.3243190399131,9.428449073226576,9.140977672154817,9.424221939996485,6,0.15,0.004,10,0.008,0.002,9.0,0.005
12,8.938845810286248,9.145856988532751,8.424980645331818,8.99357154983668,3,0.15,0.004,10,0.008,0.003,9.0,0.005
13,9.274258193267599,9.387215720942317,9.001882828897246,9.307746513592503,6,0.15,0.004,10,0.008,0.003,9.0,0.005
14,8.843192652537866,8.99484328748377,8.178413401437275,8.578677235369703,3,0.15,0.004,10,0.008,0.004,9.0,0.005
15,9.222910175205927,9.305927560703646,8.865634278064872,9.086067125137278,6,0.15,0.004,10,0.008,0.004,9.0,0.005
