,MTTF AdaFT,MTTF AdaFT DVFS,MTTF All On,MTTF DVFS,Number of Processors,QoC Constraint,Version 1 Execution Time,Version 1 Power,Version 1 WCET,Version 2 Execution Time,Version 2 Power,Version 2 WCET
0,9.217802349346151,9.229009785146667,8.916027145328215,9.229009785146667,3,0.15,0.004,10,0.008,0.001,1.0,0.002
1,9.217802349346151,9.229009785146667,9.206952614398432,9.229009785146667,3,0.35,0.004,10,0.008,0.001,1.0,0.002
2,9.22425056832257,9.230042592751644,9.213394864914928,9.230042592751644,3,0.55,0.004,10,0.008,0.001,1.0,0.002
3,9.22425056832257,9.230042592751644,9.213394864914928,9.230042592751644,3,0.75,0.004,10,0.008,0.001,1.0,0.002
4,9.32368172496319,9.331771358193441,9.315559959433882,9.331771358193441,4,0.15,0.004,10,0.008,0.001,1.0,0.002
5,9.32368172496319,9.331771358193441,9.315559959433882,9.331771358193441,4,0.35,0.004,10,0.008,0.001,1.0,0.002
6,9.328052455619815,9.33250539798256,9.319900251773397,9.33250539798256,4,0.55,0.004,10,0.008,0.001,1.0,0.002
7,9.328052455619815,9.33250539798256,9.319900251773397,9.33250539798256,4,0.75,0.004,10,0.008,0.001,1.0,0.002
8,9.385238168485738,9.391981110609443,9.378661820326652,9.391981110609443,5,0.15,0.004,10,0.008,0.001,1.0,0.002
9,9.385238168485738,9.391981110609443,9.378661820326652,9.391981110609443,5,0.35,0.004,10,0.008,0.001,1.0,0.002
10,9.388965237897864,9.392598436758828,9.382391890144083,9.392598436758828,5,0.55,0.004,10,0.008,0.001,1.0,0.002
11,9.388965237897864,9.392598436758828,9.382391890144083,9.392598436758828,5,0.75,0.004,10,0.008,0.001,1.0,0.002
12,9.425016202624192,9.430746243167176,9.419436934263196,9.430746243167176,6,0.15,0.004,10,0.008,0.001,1.0,0.002
13,9.425016202624192,9.430746243167176,9.419436934263196,9.430746243167176,6,0.35,0.004,10,0.008,0.001,1.0,0.002
14,9.428189634962372,9.431263531333743,9.42261104995813,9.431263531333743,6,0.55,0.004,10,0.008,0.001,1.0,0.002
15,9.428189634962372,9.431263531333743,9.42261104995813,9.431263531333743,6,0.75,0.004,10,0.008,0.001,1.0,0.002
16,9.217802349346151,9.229009785146667,9.206952614398432,9.229009785146667,3,0.15,0.004,10,0.008,0.001,1.0,0.003
17,9.217802349346151,9.229009785146667,9.206952614398432,9.229009785146667,3,0.35,0.004,10,0.008,0.001,1.0,0.003
18,9.22425056832257,9.230042592751644,9.213394864914928,9.230042592751644,3,0.55,0.004,10,0.008,0.001,1.0,0.003
19,9.22425056832257,9.230042592751644,9.213394864914928,9.230042592751644,3,0.75,0.004,10,0.008,0.001,1.0,0.003
20,9.32368172496319,9.331771358193441,9.315559959433882,9.331771358193441,4,0.15,0.004,10,0.008,0.001,1.0,0.003
21,9.32368172496319,9.331771358193441,9.315559959433882,9.331771358193441,4,0.35,0.004,10,0.008,0.001,1.0,0.003
22,9.328052455619815,9.33250539798256,9.319900251773397,9.33250539798256,4,0.55,0.004,10,0.008,0.001,1.0,0.003
23,9.328052455619815,9.33250539798256,9.319900251773397,9.33250539798256,4,0.75,0.004,10,0.008,0.001,1.0,0.003
24,9.385238168485738,9.391981110609443,9.378661820326652,9.391981110609443,5,0.15,0.004,10,0.008,0.001,1.0,0.003
25,9.385238168485738,9.391981110609443,9.378661820326652,9.391981110609443,5,0.35,0.004,10,0.008,0.001,1.0,0.003
26,9.388965237897864,9.392598436758828,9.382391890144083,9.392598436758828,5,0.55,0.004,10,0.008,0.001,1.0,0.003
27,9.388965237897864,9.392598436758828,9.382391890144083,9.392598436758828,5,0.75,0.004,10,0.008,0.001,1.0,0.003
28,9.425016202624192,9.430746243167176,9.419436934263196,9.430746243167176,6,0.15,0.004,10,0.008,0.001,1.0,0.003
29,9.425016202624192,9.430746243167176,9.419436934263196,9.430746243167176,6,0.35,0.004,10,0.008,0.001,1.0,0.003
30,9.428189634962372,9.431263531333743,9.42261104995813,9.431263531333743,6,0.55,0.004,10,0.008,0.001,1.0,0.003
31,9.428189634962372,9.431263531333743,9.42261104995813,9.431263531333743,6,0.75,0.004,10,0.008,0.001,1.0,0.003
32,9.212117977012813,9.229009785146667,9.190440488266075,9.229009785146667,3,0.15,0.004,10,0.008,0.002,1.0,0.003
33,9.212117977012813,9.229009785146667,9.190440488266075,9.229009785146667,3,0.35,0.004,10,0.008,0.002,1.0,0.003
34,9.218365234486946,9.230042592751644,9.19678883760367,9.230042592751644,3,0.55,0.004,10,0.008,0.002,1.0,0.003
35,9.218478121507122,9.230042592751644,9.19678883760367,9.230042592751644,3,0.75,0.004,10,0.008,0.002,1.0,0.003
36,9.319263989271441,9.331771358193441,9.303030724992762,9.331771358193441,4,0.15,0.004,10,0.008,0.002,1.0,0.003
37,9.319263989271441,9.331771358193441,9.303030724992762,9.331771358193441,4,0.35,0.004,10,0.008,0.002,1.0,0.003
38,9.323617633024854,9.33250539798256,9.307324907453372,9.33250539798256,4,0.55,0.004,10,0.008,0.002,1.0,0.003
39,9.323617633024854,9.33250539798256,9.307324907453372,9.33250539798256,4,0.75,0.004,10,0.008,0.002,1.0,0.003
40,9.38167357321849,9.391981110609443,9.368527542093783,9.391981110609443,5,0.15,0.004,10,0.008,0.002,1.0,0.003
41,9.38167357321849,9.391981110609443,9.368527542093783,9.391981110609443,5,0.35,0.004,10,0.008,0.002,1.0,0.003
42,9.385349943266917,9.392598436758828,9.372210286712134,9.392598436758828,5,0.55,0.004,10,0.008,0.002,1.0,0.003
43,9.385281166119215,9.392598436758828,9.372210286712134,9.392598436758828,5,0.75,0.004,10,0.008,0.002,1.0,0.003
44,9.422003411966365,9.430746243167176,9.410847894417214,9.430746243167176,6,0.15,0.004,10,0.008,0.002,1.0,0.003
